"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-29294S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","rozvojová pomoc;sub-národní pomoc;alokace pomoci;koordinace dárců;efektivita pomoci;Moldavsko;Kosovo;Gruzie",3,"Geografie rozvojové pomoci na regionální a lokální úrovni (na příkladu Moldavska, Kosova a Gruzie)"
"20-29304S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fakultní nemocnice u sv. Anny v Brně",,"Deptor;PTH;mTOR;vývoj kosti;kostní dysplázie;chrupavka;organoid.",3,"Deptor jako centralní regulátor vývoje skeletu v normě a patologii"
"20-29327S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","CEVRO Institut, z.ú.",,"Duverger; politologie; strany; teorie demokracie",3,"Pokus o přehodnocení díla Maurice Duvergera a jeho role ve vývoji komparativní politologie"
"20-29343S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","jedno-molekulové magnety;; jedno-iontové magnety;; pomalá relaxace magnetizace;; magnetická anizotropie;;",3,"Výzkum magnetických vlastností trigonálních kobaltnatých komplexů."
"20-29468J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta elektrotechniky a informatiky","fuzzy systémy;bio-inspirované metody;vícekriteriální optimalizace;strojové učení",3,"Inteligentní metody pro návrh fuzzy systémů založené na multikriteriálních evolučních modelech"
"20-29475S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","prosperita;měření;nerovnost;subjektivní kvalita života",3,"Širší perspektivy měření prosperity: Role nerovnosti a subjektivní kvality života"
"20-29481S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta tropického zemědělství","Aridní ekosystém;společenstvo kopytníků;Saiga tatarica mongolica;hospodářská zvířata;selekce potravy;sdílení zdrojů;změna nik;časoprostorová variabilita;ekologie pohybu;telemetrické sledování zvířat;nutriční krajina;změna klimatu",3,"Konflikt volně žijících a hospodářských zvířat: kompetiční strategie kopytníků o zdroje v extrémním aridním prostředí and tlakem hospodářských zvířat"
"20-29512Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","Ústav molekulární genetiky AV ČR, v.v.i.",,"Autoimunitní regulátor Aire;spermatogeneze;Sertoliho buňka;hemato-testikulární bariéra",3,"Nová funkce autoimunitního regulátoru (Aire) při kontrole fertility zprostředkované Sertoliho buňkami."
"20-29520Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Ústav výzkumu globální změny AV ČR, v. v. i.",,"aerosolové částice;oblak;radiační bilance;měření z letadla;",3,"Využití leteckého měření při studiu vlivu distribuce aerosolů a mikrofyzikálních vlastností oblačnosti na mocnost oblaků v kontinentálních podmínkách"
"20-29549S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ostravská univerzita","Lékařská fakulta","Clostridium difficile;ribotypizace;stanovení toxinů, adherence;mikrobiální biofilm;rezistence na antimikrobiální látky;nozokomiální infekce;hyperbarická oxygenace",3,"Identifikace faktorů patogenity, rezistence na antibiotika a vlivu hyperbarické oxygenace na expresi  genů u toxických kmenů Clostridium difficile."
"20-29565S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Středoevropský technologický institut","polymerace otevření kruhu;laktid;polymléčná kyselina;roubovaný kopolymer;biodegradovatelný polymer",3,"Polymerace laktidů na hydroxysloučeninách pro hybridní polymerní materiály z obnovitelných zdrojů"
"20-29577Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta lesnická a dřevařská","prales;biodiverzita;historie disturbancí;vítr;lýkožrout smrkový;",3,"Dlouhodobá dynamika disturbancí jako hybatel taxonomické, funkční a fylogenetické diverzity společenstev smrkových pralesů střední Evropy"
"20-29583Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Anglo-americká vysoká škola, z.ú.",,"sociální status;signální hry;teorie racionální volby;chování řidičů;bezpečnost dopravy",3,"Souvislost volby osobního vozidla a jeho charakteristik s chováním řidičů a nehodovostí"
"20-29605J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Fyzikální ústav AV ČR, v.v.i.",,"Vysoká hustota energie;Výkonové lasery;Laserové plazma;Interakce laseru s terčem;Plazmové jety;Rázové vlny;Silná magnetická pole;Laserem generovaná magnetická pole;Laboratorní astrofyzika;Fluidní simulace;PIC simulace;ELI;PALS",3,"Dynamika plazmatu s vysokou hustotou magnetické energie"
"20-29614S","Standardní projekty – 2020","Oborová komise technických věd","Univerzita Tomáše Bati ve Zlíně","Univerzitní institut","polysacharidy;proteiny;samo-organizace;fázová separace;3D tisk;meso póry;buňky;",3,"Vývoj nových 3D hierarchicky strukturovaných polysacharidových a proteinových porézních systémů"
"20-29622J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta chemická","huminové kyseliny;chitosan;hyaluronová kyselina;gel;nanočástice;interakce;transportní procesy;degradace kontaminantů;environmentální a zdravotní implikace;",3,"Biologicky aktivní (nano)materiály inspirované přírodou: environmentální a zdravotní implikace"
"20-29633J","Mezinárodní projekty – 2020","Oborová komise lékařských a biologických věd","Fakultní nemocnice Hradec Králové",,"neuroprotekce; neurodegenerace; duální léčiva; acetylcholinesterasa; Alzheimerova choroba; léčivo;",3,"Multipotentní sloučeniny odvozené od Amiridinu jako potenciální léčiva Alzheimerovy choroby"
"20-29646S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Masarykův onkologický ústav",,"řízená pohybová aktivita;rakovina;střevní mikrobiom;imunitní systém;kvalita života;nutrice;autonomní nervový systém;protinádorová chemoterapie;",3,"Vliv řízené fyzické aktivity na chemoterapií navozenou dysbalanci autonomního nervového systému, imunitního systému a střevního mikrobiomu."
"20-29667S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta chemická","Hořčík; hliník; titan; prášková metalurgie; SPS; slinování",3,"Analýza struktury a vlastností ternárních systémů Mg-Al-Ti připravených práškovou metalurgií"
"20-29874S","Standardní projekty – 2020","Oborová komise technických věd","Ústav geoniky AV ČR, v.v.i.",,"geotermální energie;geotermalní systém;mechanika hornin;hydraulické štěpení;laboratorní simulace;",3,"Laboratorní simulace podmínek in-situ sovisejících s hluboko uloženými výměníky tepla geotermálních systémů"
"20-29888S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"fytoplankton;mikrobialní společenstva;houboví parazité;vodní nádrže;",3,"Mikrobiální interakce a jejich význam pro sezónní vývoj a prostorovou distribuci fytoplanktonu v nádržích"
"20-29890Y","Juniorské projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemicko-inženýrská","Umělé střevo;nízká rozpustnost;léčivo;rozpouštění;absorpce;peroralní podaní",3,"Umělé střevo: Směrem k vývoji zdokonalených a personalizovaných systémů pro podávání léků"
"20-29900S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Fyzikální ústav AV ČR, v.v.i.",,"Nerovnováha; kvantová fyzika; počáteční podmínky; transienty; transport; termalizace;
elektrony; nanoskopické systémy",3,"Dynamika transportu v silně nerovnovážných nanoskopických systémech"
"20-29916S","Standardní projekty – 2020","Oborová komise technických věd","Fyzikální ústav AV ČR, v.v.i.",,"Organicko-anorganické halogenové perovskity;defekty;ramanovská spektroskopie;luminiscenční mikroskopie;nezářivá rekombinace;absorbční spektroskopie;časově rozlišená fotoluminiscence",3,"Defektní stavy v organicko-anorganických halogenidových perovskitech"
"20-29928X","EXPRO - 2020","EXPRO","Vysoké učení technické v Brně","Středoevropský technologický institut","nanokompozit; hierarchicaký kompozit; mechano-adaptabilita; konstrukční metamateriál;",5,"Adaptabilní konstrukční metamateriály"
"20-29937S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"dálkový průzkum Země;obrazová spektroskopie;termální data;smrk ztepilý;lýkožrout smrkový;pre-vizuální detekce;DART;",3,"Včasná detekce napadení lesních porostů lýkožroutem smrkovým pomocí metod obrazové spektroskopie a 3D modelování jejich spektrálních charakteristik"
"20-29944S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"invazní druhy;ryby;predikce dopadu;ochrana biodiverzity",3,"Jak zpřesnit odhady vlivu nepůvodních druhů? aneb Za příčinami rozdílných dopadů hlaváče černoústého na společenstva původních ryb."
"20-29959S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoké učení technické v Brně","Středoevropský technologický institut","mikrokalorimetr;nanočástice; 2D materiály; plasmony;",3,"Studium interakce elektromagnetických vln s nanočásticemi a 2D materiály"
"20-29963S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Technická univerzita v Liberci","Fakulta přírodovědně-humanitní a pedagogická","České pohraniční území 1938-1945;Reichsgau Sudetenland;Třetí říše;Stillhaltekommissar;Aufbaufonds Wien;Treuhandstelle;česká menšina;české spolky a organizace;zabavený majetek;nemovitosti",3,"Úřad Stillhaltekommissar v Liberci a jeho úloha při likvidaci spolkového života české menšiny v pohraničí (1938-1945)"
"20-29971S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav státu a práva AV ČR, v.v.i.",,"Právní jednání;umělá inteligence;právní subjektivita.",3,"Právní jednání umělé inteligence"
"20-29985J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Fakulta informatiky","kvantové technologie;kvantová informatika;kvantová teorie;",3,"Robustnost kvantových informačních technologií"
"20-30015L","Lead Agency - 2020","kontrola","Masarykova univerzita","Středoevropský technologický institut","Jahn-Tellerův effekt;spin-orbitální interakce;magnetické vlastnosti;relativistická spinová distribuce;elektronová difrakce;relativistická DFT;EPR;pNMR;elektronová struktura;multiplicita;mangan;rhenium",3,"Magnetické vlastnosti Jahn-Tellerovsky distortovaných materiálů"
"20-30015Y","Juniorské projekty – 2020","Oborová komise technických věd","Ústav fyziky materiálů AV ČR, v.v.i.",,"mechanismy-zpevnění; mechanismy-deformace; mikrostruktura; entropické-slitiny; ODS-oceli",3,"Mechanismy zpevnění a deformace vybraných typů entropických slitin a disperzně zpevněných ocelí"
"20-30027J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav jaderné fyziky AV ČR, v.v.i.",,"relativistické srážky těžkých iontů;spektátor;centralita;rovina srážky;scintilátor",3,"Studium spektátorů v  jádro-jaderných srážkách v experimentech s pevným terčem"
"20-30036S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Filosofický ústav AV ČR, v.v.i.",,"poznání; epistemologie; aktivita; práce; praxe",3,"Práce a produkce poznání: o dialektické epistemologii vědy"
"20-30043J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta materiálově-technologická","Ti-Nb-Zr slitina;beta slitiny titanu;struktura povrchu;korozní odolnost;mechanické vlastnosti;endoprotézy",3,"Výzkum základních principů formování beta titanových slitin s požadovanou strukturou povrchu pro biomedicínské aplikace"
